model_name,feature_set,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_MAPE,std_MAPE,n_folds
LSTM,base,0.016766047799303803,0.02165754087899153,0.02172753717116318,0.024716123517642793,69.73256627014345,97.6504838722917,20
LSTM,extended,0.04469720484889146,0.060571725913197594,0.05636067842624418,0.08924185258406583,214.15434808466813,350.60116420402477,20
MLP,base,0.060089196394920365,0.06104489718273238,0.07701234144759653,0.07296422611631752,252.1517472044191,304.08471770226936,20
MLP,extended,0.044174026361644456,0.029935244228021955,0.05736093950811725,0.03672424989400497,206.53424902977787,185.19776488396303,20
