model_name,feature_set,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_MAPE,std_MAPE,n_folds
LSTM,base,0.009039468533183713,0.004771370192474878,0.014897225937438923,0.011706859285894341,29.33331426422325,12.147926870167211,22
LSTM,extended,0.010051037614858246,0.004740205331709063,0.01559499986997151,0.011237044474212582,35.13062148958977,16.72356896623548,22
MLP,base,0.029391252212943766,0.027008146475945183,0.037023933617176395,0.03331772954749225,122.98505191708426,143.12555202605978,22
MLP,extended,0.020975138500228998,0.02409732532650705,0.029675803072947263,0.03435623301164936,68.64658894691792,55.195166915532305,22
