fold,model_name,feature_set,MAE,MSE,RMSE,MAPE,R2,DA,n_test
1,MLP,base,0.02064763261601427,0.0007213637076341019,0.026858214900363386,83.5028971951291,-1.0281100498100995,56.666666666666664,30
2,MLP,base,0.02305918595576171,0.0011302094524625597,0.033618587901078766,103.10619087756211,-6.546294406268185,46.666666666666664,30
3,MLP,base,0.05542367081016312,0.00669609482407476,0.08182966958307213,76.08469134192951,-0.6678082959397005,60.0,30
4,MLP,base,0.10684118462351924,0.019392409072609387,0.13925663026444876,505.2313012930862,-145.50121974655895,56.666666666666664,30
5,MLP,base,0.012580983915363171,0.0002838795975213448,0.01684872688132088,61.05159060321442,-1.097760990922791,50.0,30
6,MLP,base,0.013451892255121696,0.0002965118640340631,0.017219519854922295,41.01096130694957,-0.35652686146422385,53.333333333333336,30
7,MLP,base,0.02773395210034838,0.001151382175696986,0.03393202286479523,63.66874541075765,-1.934570447107769,46.666666666666664,30
8,MLP,base,0.022158355985442118,0.0007062004096804499,0.02657443150248844,48.22419956526348,-1.420209027763029,50.0,30
9,MLP,base,0.036173581895474136,0.001760459419397749,0.04195782905963735,124.202992997775,-2.765259816890871,66.66666666666666,30
10,MLP,base,0.018317598694452746,0.0004732269352876673,0.021753779793122558,52.97401837892465,-2.3635582396506134,46.666666666666664,30
11,MLP,base,0.011825252233717946,0.0002480689772225883,0.01575020562477164,35.25410277663206,-0.561995176888324,63.33333333333333,30
12,MLP,base,0.018738875673967738,0.0005805679934604964,0.024094978594314965,49.97045816343872,-0.35132302363594126,43.333333333333336,30
13,MLP,base,0.011785894117550115,0.00021361814456027206,0.014615681460687082,47.566171902096244,-2.776418461201262,50.0,30
14,MLP,base,0.012052826453648559,0.00021586219360555375,0.014692249439944646,68.87422113960615,-3.043050838408024,46.666666666666664,30
15,MLP,base,0.08004567237002094,0.010703961964971592,0.1034599534359628,412.12636020730554,-73.18666966134586,50.0,30
16,MLP,base,0.01026563926245423,0.0001580320273053396,0.012571079003225603,66.29955480185113,-3.8514475633024166,46.666666666666664,30
17,MLP,base,0.011719174301190126,0.000445459103363559,0.021105902097838865,62.33751088860111,-0.4844636440526695,60.0,30
18,MLP,base,0.09135762373183351,0.01030276001385481,0.10150251235242806,536.6912784497318,-240.54739024617228,50.0,30
19,MLP,base,0.026135498585437556,0.0011316168669699342,0.033639513477009955,121.91117094007893,-5.458500669883617,60.0,30
20,MLP,base,0.020168824865774135,0.0004989075072995566,0.022336237536782166,104.88240632467884,-17.531218584800722,46.666666666666664,30
21,MLP,base,0.012762288953508972,0.00022481597867146316,0.014993864700985638,47.08579323236071,-1.0825232026254397,60.0,30
22,MLP,base,0.00999864470679093,0.00015505172567386634,0.01245197677775968,45.204535801072545,-0.5042064646045634,56.666666666666664,30
1,LSTM,base,0.007587669041593175,0.00034713643022417877,0.018631597629408456,19.39141475768505,0.024027858149518133,63.33333333333333,30
2,LSTM,base,0.00829717559019675,0.0001389076293636541,0.01178590808396426,34.08513872171418,0.07252778308395713,70.0,30
3,LSTM,base,0.02804660755349115,0.003942359177534935,0.06278820890529475,25.862342658157118,0.018069559256084666,70.0,30
4,LSTM,base,0.007353147682980902,0.00013641279822162596,0.011679588957734171,32.88100461544355,-0.030539385472047265,80.0,30
5,LSTM,base,0.006648920417750647,9.1516922546513e-05,0.009566447749635859,25.7811316581128,0.3237251574131089,63.33333333333333,30
6,LSTM,base,0.009771910099220535,0.00020838651397937915,0.01443559884380898,22.927782082752763,0.04664218175282353,63.33333333333333,30
7,LSTM,base,0.012230994356417366,0.00042430382086358355,0.020598636383595482,20.696409215775372,-0.0814388824001322,66.66666666666666,30
8,LSTM,base,0.010344634942285158,0.0002296788257300875,0.015155158386836065,17.408746918495808,0.212871077532373,73.33333333333333,30
9,LSTM,base,0.009750296354543045,0.0005146555712204077,0.022686021493871677,22.145033935933757,-0.10074218155971004,60.0,30
10,LSTM,base,0.007835743500672192,0.00015852699589514958,0.012590750410327003,19.39237569628413,-0.1267633845187961,63.33333333333333,30
11,LSTM,base,0.010925026724333884,0.0001698117617488166,0.013031184203625418,30.27824769677137,-0.06923951475222379,60.0,30
12,LSTM,base,0.011943740542843053,0.00029006253233089665,0.01703122227941661,30.004532818287483,0.3248539660332551,66.66666666666666,30
13,LSTM,base,0.005598297706504282,5.5657464574904546e-05,0.007460393057668245,20.993124910824555,0.016067304783554337,60.0,30
14,LSTM,base,0.007625229302266435,7.506435552336301e-05,0.008663968809002201,60.40339247044337,-0.40593867070515377,50.0,30
15,LSTM,base,0.007533835705398325,0.0001299877630269295,0.011401217611594365,28.62833720525744,0.09908506147034679,83.33333333333334,30
