model_name,feature_set,mean_MAE,std_MAE,median_MAE,mean_MSE,std_MSE,median_MSE,mean_RMSE,std_RMSE,median_RMSE,mean_MAPE,std_MAPE,median_MAPE,mean_R2,std_R2,median_R2,mean_DA,std_DA,median_DA,n_folds
LSTM,base,0.009000861757874797,0.004767932542074645,0.0077304864014693135,0.0003493843334848011,0.0008128500889344728,0.00014871731262940184,0.0147809650598764,0.011710725483681945,0.012188329247145632,29.347950642812535,12.055445406472343,26.789070689323022,0.020847455935607162,0.15857806339646416,0.0170684320198195,65.3030303030303,7.393625948457541,63.33333333333333,22
LSTM,extended,0.010387630869404472,0.004580081626480978,0.008854029477188531,0.00037596706555136013,0.0007750891802732136,0.0001912706625215031,0.016212957137181256,0.010885455348929369,0.0138300423450291,37.43908013066357,22.11896706008491,27.56178522876624,-0.6083975283815701,1.7602800042298166,-0.07708032686437805,62.27272727272727,10.459615643204076,63.33333333333333,22
MLP,base,0.029692920641252517,0.02795890437517636,0.019453850269870936,0.00261320272524355,0.004883513297885442,0.0005397377503800265,0.037775616686680044,0.03525182953851341,0.023215608065548565,125.3300524362748,149.62510698874607,64.98415010630438,-23.320932973604428,58.90291179296861,-2.149064343379191,53.03030303030303,6.579516949597689,50.0,22
MLP,extended,0.022861221231594165,0.030772507013917264,0.013914759219827166,0.002523338384964504,0.008612209293780473,0.0003918054005269151,0.030869123663425837,0.04056128987498032,0.019792522565649173,72.47515584497042,69.64334868475082,53.293955651603596,-8.82589417271876,29.272495587077483,-1.4895760981745467,56.81818181818182,7.866429423868993,56.666666666666664,22
