model_name,feature_set,mean_MAE,std_MAE,median_MAE,mean_MSE,std_MSE,median_MSE,mean_RMSE,std_RMSE,median_RMSE,mean_MAPE,std_MAPE,median_MAPE,mean_R2,std_R2,median_R2,mean_DA,std_DA,median_DA,n_folds
LSTM,base,0.009591309384916745,0.005527908107667426,0.008522370298184718,0.0003696067732428096,0.0008776415221026784,0.00014886877852064717,0.015113639351244268,0.012161733377538992,0.01219361011721725,32.560231019461476,16.022384063921532,28.93784132798558,-0.03588456559780393,0.2673470877758594,-0.014853467465443027,64.54545454545455,7.735403017067685,66.66666666666666,22
LSTM,extended,0.010366113663538913,0.005500589333056198,0.008638504673985622,0.00040252563768459636,0.0009461025266108095,0.00015924003032782917,0.016147489377824537,0.01218752863441439,0.012616607001361843,38.1007403814895,22.66527707708101,29.73815046487077,-0.397810182949856,0.8704895365209822,-0.11611214816132853,62.878787878787875,8.746606570729385,63.33333333333333,22
MLP,base,0.02925697518608676,0.023761375503841175,0.019970553448052514,0.001995560714616487,0.0030379033775327262,0.0006084278272100996,0.03572847048093106,0.0274458917539965,0.024636305428253548,123.91032525247971,132.62667828483072,73.22944833012356,-19.046577462328077,48.745307437066515,-2.7093408289551375,54.848484848484844,6.879712736041185,53.333333333333336,22
MLP,extended,0.024075177693760077,0.03077688998449904,0.015254989672180102,0.00326727461310853,0.011945186766054272,0.000380340847378116,0.033123075181984436,0.04768098506849205,0.019502076634584302,77.54536261310977,66.34769099586808,57.78884588249914,-12.420473104285445,41.069053295284625,-1.3259403979049011,55.75757575757576,9.822866001768348,56.666666666666664,22
