model_name,feature_set,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_MAPE,std_MAPE,n_folds
LSTM,base,0.009346182051313644,0.004709973177717304,0.014280429805205669,0.009697076099509901,34.89346657672328,18.86907768857385,19
LSTM,extended,0.022108896114963805,0.03960311565754957,0.027760960274120994,0.042704635251374676,93.64108454259241,209.98540272861698,19
MLP,base,0.054265583515142005,0.040367773296416144,0.0677615163417879,0.04399140289398096,234.10857673378717,176.3630437834107,19
MLP,extended,0.03349959445349021,0.02094592732771623,0.04228373194341086,0.023987970406638276,141.66429463803252,100.68623045348865,19
