model_name,feature_set,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_MAPE,std_MAPE,n_folds
LSTM,base,0.010668089734799668,0.007300821850223888,0.015405472775051731,0.011341200384648344,1161657.3561253257,7792433.258094053,45
LSTM,extended,0.03166181505417694,0.09723936680489903,0.036632938680777195,0.09847923198208865,1322273.5120358253,8869476.54349741,45
MLP,base,0.05482942111951264,0.08817063322217536,0.06294107508735147,0.09058397805162362,339545.5914213238,2276583.75509616,45
MLP,extended,0.02959889707051689,0.03719255474533489,0.03618297055194198,0.04178827552725568,381034.1519153417,2555507.2521288157,45
