fold,model_name,feature_set,MAE,RMSE,MAPE,n_test
1,LSTM,base,0.007684055181793102,0.018627883994366688,19.936240625315254,30
2,LSTM,base,0.00830045574392166,0.011910405432957388,33.359199174848264,30
3,LSTM,base,0.02772877882011882,0.06229191234081996,25.711659658276858,30
4,LSTM,base,0.012144060045324586,0.014162025570254505,63.643094039628146,30
5,LSTM,base,0.006585355189272268,0.009625927910997922,25.20454306099414,30
6,LSTM,base,0.010179447226507042,0.014679043251333918,24.333315457832004,30
7,LSTM,base,0.009909323309849756,0.0186463123510163,15.46962092374522,30
8,LSTM,base,0.012944297438835161,0.017268845485224033,23.541576724410067,30
9,LSTM,base,0.010599905730813397,0.022222653701024327,26.46908777087052,30
10,LSTM,base,0.007323384854686341,0.012630083822511018,17.525847611386194,30
11,LSTM,base,0.011105084234516333,0.01311800716927315,31.046235155051626,30
12,LSTM,base,0.011978470323702316,0.017393135570758163,29.77446993133152,30
13,LSTM,base,0.005632587878732985,0.00746360150580705,21.080298536856837,30
14,LSTM,base,0.00871197596199407,0.009619304499603996,69.88565524700913,30
15,LSTM,base,0.00739882918295667,0.011027079980559004,29.560203830178178,30
16,LSTM,base,0.004840547951450507,0.006114194942550168,33.23753429222003,30
17,LSTM,base,0.007987746228139478,0.017474566554340317,56.308103270449,30
18,LSTM,base,0.005528299788728569,0.00655362667080302,32.56088686828283,30
19,LSTM,base,0.008652123715621655,0.01251374056621188,28.081732052959325,30
20,LSTM,base,0.00414921472595253,0.0051409093634854405,23.799488187633646,30
21,LSTM,base,0.006783906360586263,0.009079963779080453,25.46404666011216,30
22,LSTM,base,0.007667257969610773,0.010121826614198661,27.31869988698704,30
1,LSTM,extended,0.008002361009976273,0.018420438454851737,20.27451186818826,30
2,LSTM,extended,0.007875007661454565,0.011779076385496306,29.361092121101635,30
3,LSTM,extended,0.027256937629011473,0.0635708031112597,23.755631820802076,30
4,LSTM,extended,0.008714510504766803,0.012276493040783154,40.451450324381284,30
5,LSTM,extended,0.009027599515832282,0.01077113852462733,44.9098215545403,30
6,LSTM,extended,0.009757474826533724,0.013914333154667237,24.908997304424155,30
7,LSTM,extended,0.013624003822088422,0.018425766422172342,27.910406643383666,30
8,LSTM,extended,0.010180531103446102,0.01455157227154213,16.994371907262433,30
9,LSTM,extended,0.010104563659588811,0.02391106796910592,19.60796368570036,30
10,LSTM,extended,0.008041917147090764,0.01239396528217963,20.893650236993363,30
11,LSTM,extended,0.009894060138112084,0.012779613943591122,27.56720363001106,30
12,LSTM,extended,0.011365415747400031,0.01730461682742842,27.530037222692744,30
13,LSTM,extended,0.005545533736123984,0.0073721132747295555,20.252551959183656,30
14,LSTM,extended,0.008930949935941474,0.010142901276555859,71.4029399581504,30
15,LSTM,extended,0.007222826142634221,0.01104986725685552,27.677136797439484,30
16,LSTM,extended,0.00714721678857796,0.00823105952049653,49.403794761191925,30
17,LSTM,extended,0.00797378778500316,0.01733278641647479,54.18397792702948,30
18,LSTM,extended,0.021100828502179193,0.0251075205798483,131.83386029489512,30
19,LSTM,extended,0.007972009435412788,0.011328209385462884,27.31906586535643,30
20,LSTM,extended,0.008226555993149174,0.009617272888302993,49.398399070997215,30
21,LSTM,extended,1.0775082452213665,1.0851006961151426,4388.566403105257,30
22,LSTM,extended,0.007780836305033974,0.010338840222388715,27.12349799910303,30
