model_name,feature_set,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_MAPE,std_MAPE,n_folds
LSTM,base,0.007646345097703967,0.002848839136382677,0.011269804661451593,0.005114040890475715,34.01749987897079,15.730266401434342,15
LSTM,extended,0.009267338675381633,0.0045667626660606765,0.012468622042618956,0.00607598078595605,41.684462370613794,19.83860121637304,15
MLP,base,0.02179860065858753,0.014718280821418836,0.029472913186652773,0.020901242654397762,97.42062760620128,67.15824720911654,15
MLP,extended,0.01637992464260869,0.007510293905921029,0.022124423516279326,0.010001125783867403,70.72981839100544,37.17386573796016,15
