model_name,feature_set,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_MAPE,std_MAPE,n_folds
LSTM,base,0.02409775287896134,0.0706017948457904,0.02872010400541921,0.07427258438891918,61.393756938674585,121.08202828417043,19
LSTM,extended,0.013352188751276584,0.01827965206896004,0.018101910799992817,0.023032321133827038,45.58410077889725,32.71784890026309,19
MLP,base,0.03381959775269138,0.04294026425688926,0.041438897626485637,0.04695978159565929,125.65767495524841,134.57243429556647,19
MLP,extended,0.020312935446344334,0.011333609229977747,0.026072781772287012,0.013069992417968858,79.7948024847727,48.79219884143739,19
