fold,model_name,feature_set,MAE,MSE,RMSE,MAPE,R2,DA,n_test
18,MLP,extended,0.01491296834150946,0.0003457108402892122,0.0185933009519346,75.1032836015573,-7.105163193103106,43.333333333333336,30
19,MLP,extended,0.018541231386971096,0.000602916503530042,0.024554358137203303,77.00460118244625,-2.441038001103002,46.666666666666664,30
20,MLP,extended,0.009455682153362205,0.00011014761736934502,0.010495123504244483,45.458130402670605,-3.091278531996024,50.0,30
21,MLP,extended,0.011286252535317632,0.00020192634289376967,0.014210078919336433,40.62908033487878,-0.8704911313803949,63.33333333333333,30
22,MLP,extended,0.023159408156275367,0.0010036073796714192,0.03167976293584627,99.81662932769964,-8.736316715377525,56.666666666666664,30
1,LSTM,extended,0.008594069934216065,0.0003268558944853194,0.018079156354357893,24.491480357365838,0.08104647152336497,60.0,30
2,LSTM,extended,0.008295911198112228,0.0001354650328411903,0.011638944661832115,32.75614967265541,0.09551365249418253,70.0,30
3,LSTM,extended,0.033436945105259616,0.004647044936606781,0.06816923746534635,34.06993342094061,-0.15744778120705405,66.66666666666666,30
4,LSTM,extended,0.00850429296397664,0.00014760886712357325,0.01214943896332556,40.504343671691416,-0.11512081856581013,66.66666666666666,30
5,LSTM,extended,0.014095614702489311,0.0002388121925909975,0.01545354951430245,73.24988184437514,-0.7647302100900981,60.0,30
6,LSTM,extended,0.009830770475629856,0.0002214013299805594,0.014879560812757861,22.201094807946646,-0.012899946721965705,66.66666666666666,30
7,LSTM,extended,0.012684967746675456,0.000313673193517981,0.01771082136768312,24.526547414781422,0.20052949995464053,46.666666666666664,30
8,LSTM,extended,0.013166853229771907,0.00034227411616644386,0.018500651776800835,20.73822770082819,-0.17300258476269126,60.0,30
9,LSTM,extended,0.009522815510561215,0.000508178161769823,0.02254280731785247,21.011222573560545,-0.08688833792485973,70.0,30
10,LSTM,extended,0.007777113756025356,0.0001649903958983414,0.012844858734074946,18.404337505316803,-0.17270333576793262,63.33333333333333,30
11,LSTM,extended,0.010577001375785622,0.00018072967004660172,0.013443573559385233,26.881273546700633,-0.1379853946030014,56.666666666666664,30
12,LSTM,extended,0.012378471121753842,0.0003717951970206766,0.01928199152112345,26.362021447792312,0.13461400650656608,60.0,30
13,LSTM,extended,0.005756441785591748,5.480162673183393e-05,0.007402812082704378,22.29863003917549,0.03119711427150551,60.0,30
14,LSTM,extended,0.010876644068087188,0.00014903980862721083,0.01220818613174008,90.29544141095462,-1.7914824414668273,40.0,30
15,LSTM,extended,0.007393445874956628,0.0001238488857840694,0.011128741428574455,29.669406945833614,0.14163219117783032,76.66666666666667,30
16,LSTM,extended,0.009724699023971531,0.00011598031959965963,0.010769415935864843,67.26673771436651,-2.5604962393201705,53.333333333333336,30
17,LSTM,extended,0.010084598317248108,0.00029363318041111146,0.01713572818444292,91.10749869168153,0.02148642217306751,56.666666666666664,30
18,LSTM,extended,0.006237549045565895,6.039892925828958e-05,0.007771674803946031,42.22813086113039,-0.4160480993815199,63.33333333333333,30
19,LSTM,extended,0.008376329112745594,0.00014761329103004294,0.01214962102413252,29.783899001413122,0.1575235693030833,70.0,30
20,LSTM,extended,0.009136087097028994,0.000117253623043544,0.010828371209168255,54.4643597776753,-3.355221131549552,50.0,30
21,LSTM,extended,0.009357919320503281,0.0001955379636673337,0.013983488966181998,39.43447486883486,-0.8113140744610328,63.33333333333333,30
22,LSTM,extended,0.00671461283852103,9.252687433912213e-05,0.009619089059735445,23.39642866345836,0.10236714924856827,66.66666666666666,30
