model_name,feature_set,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_MAPE,std_MAPE,n_folds
LSTM,base,0.016855283884997775,0.02161134495290545,0.02182440214299968,0.02465596481485585,70.30601473967877,97.4672947448981,20
LSTM,extended,0.04469720484889146,0.060571725913197594,0.05636067842624418,0.08924185258406583,214.15434808466813,350.60116420402477,20
MLP,base,0.1448911763066604,0.1110304522200857,0.1707656271641803,0.1140232046304657,602.2934130350573,405.6313290624418,20
MLP,extended,0.12503002573770336,0.13009334183874305,0.1478045270467188,0.13266946404646335,535.202175834399,508.69354289330573,20
