model_name,feature_set,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_MAPE,std_MAPE,n_folds
LSTM,base,0.02152481324641071,0.05743771150789633,0.026210705383248423,0.061331185173501945,58.59437810944081,98.09054082132789,19
LSTM,extended,0.01173911900846439,0.009951784868414476,0.015920723317438896,0.012846499477696156,45.61474977775632,23.999670564163,19
MLP,base,0.036793687871820635,0.03760882045852385,0.046681558215674004,0.04320552053584939,138.90126195591418,117.39049847774467,19
MLP,extended,0.02856345959071857,0.02283660600576303,0.0371034389513958,0.02732520956287955,121.87229623752542,114.60493085183369,19
