model_name,feature_set,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_MAPE,std_MAPE,n_folds
LSTM,base,0.007680922574508204,0.0028264522606120763,0.011336130136344049,0.005058341098066577,34.45891822380209,17.406994501947477,15
LSTM,extended,0.009146465167567681,0.0042392941522048444,0.012454366007630334,0.00575563701638499,41.3373464870881,19.580741776077573,15
MLP,base,0.02612896043323609,0.023490908319554412,0.03315127928932872,0.028660762857735774,118.18965287279451,100.79717728977566,15
MLP,extended,0.016781265267641066,0.006628205097252527,0.022671872189460318,0.009020832993877969,77.23120829522617,38.091039404178375,15
