fold,model_name,feature_set,MAE,RMSE,MAPE,n_test
1,MLP,base,0.02131195793671268,0.02831376264292518,67.08516289351819,30
2,MLP,base,0.01845547093688166,0.02497867956032213,49.41552102464513,30
3,MLP,base,0.02490843423164095,0.029272604434460336,86.77775305006091,30
4,MLP,base,0.021738636826046962,0.03037045626751323,69.23541673975497,30
5,MLP,base,0.08390751270876053,0.10857967890062224,413.47104739630146,30
6,MLP,base,0.06657200670407919,0.08527710944669412,313.7629931454832,30
7,MLP,base,0.00592793064769331,0.0073493945711665,54.25245254608818,30
8,MLP,base,0.031607559797058635,0.041297662078236486,189.5371953616208,30
9,MLP,base,0.012715237663798376,0.01564183461294184,66.16109005335066,30
10,MLP,base,0.022272581233844638,0.028415366636625274,84.01730883647046,30
11,MLP,base,0.031543746154837925,0.03898190250633377,123.33731498823872,30
12,MLP,base,0.008999049211568048,0.0114949819974622,51.050514382694736,30
13,MLP,base,0.012434251298451264,0.015764721005383887,45.63996845083016,30
14,MLP,base,0.010166831545504688,0.012972991276033255,55.755027553724126,30
15,MLP,base,0.018745991672122205,0.0233317852957487,123.06057436700357,30
1,LSTM,base,0.009088852504362128,0.013488809822319064,22.925244059427666,30
2,LSTM,base,0.01238378789226627,0.01919989148593026,29.885103610650276,30
3,LSTM,base,0.005284811093635758,0.006887627460195358,17.535632937826882,30
4,LSTM,base,0.017413935805679574,0.022351939981017248,78.10221089247207,30
5,LSTM,base,0.007358195671296199,0.009162271162426811,34.93653910526179,30
6,LSTM,base,0.006091003488738325,0.00918169367345228,28.615117462495004,30
7,LSTM,base,0.004319837698293474,0.0050326260637669346,58.4416922347332,30
8,LSTM,base,0.00841216128474406,0.014814637607063214,37.14986544152833,30
9,LSTM,base,0.005136138471209462,0.0063582481986185916,29.43012708043894,30
10,LSTM,base,0.00656627781522062,0.010859848542828468,19.761282211874903,30
11,LSTM,base,0.007510284321067153,0.016706555540824775,18.51993529577733,30
12,LSTM,base,0.0050316630282855644,0.00689616556386431,26.2081478312778,30
13,LSTM,base,0.01008657121726003,0.014912492083233222,34.93995294358622,30
14,LSTM,base,0.0051039612218402326,0.007204513610108022,28.526653537864018,30
15,LSTM,base,0.003638174528907359,0.0051024666027692425,22.82352638463675,30
1,MLP,extended,0.0315931992586549,0.03749204234990887,99.49186602284823,30
2,MLP,extended,0.014054446934858392,0.021657778755329503,37.04666798090624,30
3,MLP,extended,0.014383467194512467,0.01715526596436415,48.841400090195364,30
4,MLP,extended,0.01500140247872258,0.024689583754049928,41.48755148456169,30
5,MLP,extended,0.00897618775367143,0.013709702448314267,33.82207197659524,30
6,MLP,extended,0.009076490496240423,0.013003028946144014,41.29537904902493,30
7,MLP,extended,0.004393558428196113,0.006003498676500903,35.89096264980055,30
8,MLP,extended,0.028965558005730665,0.03599776407086336,174.98691752771398,30
9,MLP,extended,0.01777003912706288,0.025584467581235136,102.3185181365629,30
10,MLP,extended,0.019165501861015198,0.021478300799018007,64.00477544728898,30
11,MLP,extended,0.016593336024836664,0.02408330749173005,48.47958512137563,30
12,MLP,extended,0.027157986424088225,0.04113524490933853,147.2003929992578,30
13,MLP,extended,0.016093710425498235,0.02212747103714177,78.2404255164767,30
14,MLP,extended,0.016710737818348934,0.01948798448229064,92.77728513555546,30
15,MLP,extended,0.010435183691525947,0.013792568701339332,64.44174948941456,30
1,LSTM,extended,0.009573458711316195,0.014234350698917776,22.6785464712784,30
2,LSTM,extended,0.013055462584595109,0.02134716838264537,33.02750466205938,30
3,LSTM,extended,0.004941128897877506,0.006688796391704806,15.618496253243144,30
4,LSTM,extended,0.01675006733725837,0.02201085738070023,73.37798852149403,30
5,LSTM,extended,0.006905596223500458,0.008520191538790432,34.083451804438965,30
6,LSTM,extended,0.007353434664944908,0.010209879437628926,34.20184970597803,30
7,LSTM,extended,0.005318821049609223,0.005892772317010254,67.26872736368732,30
8,LSTM,extended,0.008341718966391819,0.014638258427088198,36.988212285806014,30
9,LSTM,extended,0.005515646639509668,0.006733982248128218,32.4473351005046,30
10,LSTM,extended,0.012664438041894198,0.015501571865651206,45.47607148031285,30
11,LSTM,extended,0.009083216515663139,0.01551314710849995,29.825851648046225,30
12,LSTM,extended,0.005603015281656367,0.0072916649945359915,29.139521180565637,30
13,LSTM,extended,0.009614215554167731,0.014836264615446062,31.86021050811343,30
14,LSTM,extended,0.005006383584289412,0.007284779644090904,26.7365320150609,30
15,LSTM,extended,0.0036697929888676794,0.0049127582885065205,24.460982535260513,30
