model_name,feature_set,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_MAPE,std_MAPE,n_folds
LSTM,base,0.021346704663815875,0.05748056542358097,0.026033150220608495,0.06138049578513561,57.24466879259371,98.14415362225083,19
LSTM,extended,0.01140868382496294,0.00994385831330684,0.015592384635740423,0.012794034416161573,43.34748673122383,22.76763370399079,19
MLP,base,0.031462843464006525,0.028051367584998578,0.04082388352796165,0.03451620908153631,121.56386844470325,95.46704150259403,19
MLP,extended,0.027794423466003727,0.022821087562975264,0.036117651483621394,0.027356332041474515,118.41647397738132,113.78271703051242,19
