fold,model_name,feature_set,MAE,RMSE,MAPE,n_test
1,MLP,base,0.02445816756598905,0.031519733222997726,36.43741578887874,30
2,MLP,base,0.04236093829067902,0.051924911592718795,111.47128599365344,30
3,MLP,base,0.22008919769757807,0.23579172866524994,646.7600932739654,30
4,MLP,base,0.030825191153632903,0.0404838241747615,105.12926695181206,30
5,MLP,base,0.011525722497613926,0.015585466645827786,33.231685641307884,30
6,MLP,base,0.020610646580236494,0.027041467585712197,53.11474978783968,30
7,MLP,base,0.1461765352073337,0.16237180978778185,466.8963643502797,30
8,MLP,base,0.019399307867819557,0.025162375841019213,80.93157083951417,30
9,MLP,base,0.03314400091692583,0.040500649768957016,159.14790643686305,30
10,MLP,base,0.01600961041910852,0.021046379906858863,78.65832522499241,30
11,MLP,base,0.01169940873872493,0.014451929382990858,119.03331480857776,30
12,MLP,base,0.013091348720465752,0.01707398178548872,76.32744121867046,30
13,MLP,base,0.009333305051521102,0.011365485249524009,36.38322394452942,30
14,MLP,base,0.010277983486714482,0.01372027768528353,37.213116363468046,30
15,MLP,base,0.041375901011410594,0.05079247875890387,167.77463985656405,30
16,MLP,base,0.005499008877699407,0.006724869862470128,31.604695578471315,30
17,MLP,base,0.009791527344303448,0.01365857530706941,48.89112492116095,30
18,MLP,base,0.012072334983618269,0.015449366113293008,61.104074539115196,30
19,MLP,base,0.00902632062599427,0.010910643469433648,54.015153418527795,30
1,LSTM,base,0.27477207705527745,0.2926086070999318,487.01445946117633,30
2,LSTM,base,0.011560035555772471,0.02009792536137506,22.487954559767946,30
3,LSTM,base,0.0070941245638493295,0.011180337998644794,18.01469401381471,30
4,LSTM,base,0.008279120955558777,0.011418099846479133,25.573192925347755,30
5,LSTM,base,0.009324646591421324,0.013496300382602853,24.40777104397162,30
6,LSTM,base,0.01273299736238188,0.020489370205228875,35.36541081121181,30
7,LSTM,base,0.006835041822866263,0.010066287197284243,19.11850779019046,30
8,LSTM,base,0.015706813845989206,0.018053219205595605,90.0969831371167,30
9,LSTM,base,0.00796446316108617,0.009932003883266323,36.88279945380363,30
10,LSTM,base,0.005861910856900987,0.009022081314560794,27.322310628519723,30
11,LSTM,base,0.006532135177554423,0.007533162185034666,75.70849122097329,30
12,LSTM,base,0.007418513816916728,0.014294969113987152,33.118910001841144,30
13,LSTM,base,0.007714518736684191,0.010882985522025093,33.32539997049884,30
14,LSTM,base,0.010363350916218452,0.014716200417230114,29.36602075073267,30
15,LSTM,base,0.004719913991406723,0.006454418908219746,17.628101431695494,30
16,LSTM,base,0.004762259174970681,0.005998422417567206,33.38048818736541,30
17,LSTM,base,0.008859592998243947,0.013576974464613265,36.83890689354264,30
18,LSTM,base,0.007670240769152196,0.01087783658201704,35.41654656702722,30
19,LSTM,base,0.005651125958671123,0.006684774198172354,46.92767441480428,30
1,MLP,extended,0.05943641091455221,0.0647973361801903,90.96737369182325,30
2,MLP,extended,0.017126983104672755,0.0251162025637268,34.36881897790841,30
3,MLP,extended,0.0193778654644113,0.02415378117617583,47.34971934136452,30
4,MLP,extended,0.04178169254252092,0.048776578612961065,148.2916980097355,30
5,MLP,extended,0.013437401231507887,0.017785516617692534,38.65864030833829,30
6,MLP,extended,0.017206185579981367,0.02344388425121203,57.11632794911824,30
7,MLP,extended,0.03833893688464083,0.04851945112986431,135.06707727160116,30
8,MLP,extended,0.015036939386072463,0.02069025644804629,60.06895323931379,30
9,MLP,extended,0.014196909864835676,0.019260364128033995,53.075801539360114,30
