model_name,feature_set,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_MAPE,std_MAPE,n_folds
LSTM,base,0.02123823456164752,0.05749984050657283,0.025846208974657954,0.061397072835840644,56.79470709707684,98.22383866826736,19
LSTM,extended,0.011380105496610834,0.009950719810901872,0.015603137697372593,0.012808687388603142,42.98003768741146,22.349590153483085,19
MLP,base,0.03315516278231236,0.04410348883205562,0.04001636581425075,0.04709637287093744,119.60309067383263,134.6938342121829,19
MLP,extended,0.023475712808924732,0.018181530185377326,0.029246547764902344,0.020803426586929876,87.80587192299872,60.72213625577452,19
