fold,model_name,feature_set,MAE,RMSE,MAPE,n_test
1,MLP,base,0.023320712318418955,0.027520801152042026,45.54791512555717,30
2,MLP,base,0.04412078731133451,0.05516145715810877,143.17114542685744,30
3,MLP,base,0.08240079480746185,0.09096004285332332,245.4412808587292,30
4,MLP,base,0.10210074756577765,0.11957621938932206,365.6957643859444,30
5,MLP,base,0.07393827428611717,0.09032632109928909,240.1930016674695,30
6,MLP,base,0.08031791946610639,0.09214577642575146,270.25082202002363,30
7,MLP,base,0.08605054699272854,0.09956077345724065,271.622481158168,30
8,MLP,base,0.07020399708450578,0.08979459720237742,223.281082010102,30
9,MLP,base,0.027772767681274558,0.03629556848395593,98.24969096178152,30
10,MLP,base,0.03667401233695399,0.05074056131036747,121.1265833365194,30
11,MLP,base,0.017415843586083446,0.019763939054888664,64.21365293638426,30
12,MLP,base,0.024893092082427515,0.033776969415229695,57.35315386458174,30
13,MLP,base,0.03332332242386869,0.04464070664250741,92.19011043624312,30
14,MLP,base,0.05416251951413123,0.08024371352041798,146.95643058721785,30
15,MLP,base,0.06451171708567266,0.09210704529579236,241.4021804139841,30
16,MLP,base,0.015613338379543465,0.020905009752251246,55.72576703999825,30
17,MLP,base,0.017250982071742842,0.023215116681948374,83.2664286249573,30
18,MLP,base,0.02784653922203917,0.036276574123580485,85.80941197976053,30
19,MLP,base,0.01171100492882148,0.013635619875270247,78.79418848012133,30
20,MLP,base,0.015968593579351032,0.020948238953369776,80.7465636268121,30
21,MLP,base,0.10918448968601484,0.14960448471934656,558.1557002762692,30
22,MLP,base,0.05840517437094974,0.07423595795930915,261.8227236663778,30
23,MLP,base,0.02737744073761174,0.03853972361941438,139.48242923128257,30
24,MLP,base,0.050913674397141236,0.06658819416063626,256.03790736841967,30
25,MLP,base,0.032926296897973,0.03848051130819665,186.61030970076945,30
26,MLP,base,0.03423957594866644,0.044854785344025046,234.63256166908755,30
27,MLP,base,0.011284588299780294,0.021333869955919994,82.7177781340728,30
28,MLP,base,0.009887673728854789,0.012114827712981212,64.90188851604138,30
29,MLP,base,0.010885367948563377,0.015431155429324554,71.37312320481264,30
30,MLP,base,0.0457273504008356,0.06007006307968744,255.47585457390994,30
31,MLP,base,0.06340261722563884,0.07222147813922242,365.6016285079491,30
32,MLP,base,0.0286682778970215,0.03906207184135655,147.1613681439801,30
33,MLP,base,0.028200918588031507,0.04089217468715507,135.7334048686504,30
34,MLP,base,0.03560661663739477,0.04909400520653991,139.5053462991315,30
35,MLP,base,0.020666967266059356,0.02383701324030279,64.79084592205926,30
36,MLP,base,0.02610913565645415,0.037789020000602594,122.79475122508828,30
37,MLP,base,0.08196616225001711,0.09799196265829663,468.77308144966463,30
38,MLP,base,0.01966716032619725,0.026975885149861864,90.14552921331209,30
39,MLP,base,0.041602993609833536,0.053098480274183395,174.27866733215927,30
40,MLP,base,0.03146256993236939,0.04594094200658947,165.48450856756764,30
41,MLP,base,0.025028003964459915,0.03232332401225432,128.63759890559024,30
42,MLP,base,0.02889601501978172,0.04113354452915564,147.29820568997772,30
43,MLP,base,0.02766596060915883,0.04178295752254518,121.68594947327551,30
44,MLP,base,0.029068275264949824,0.03668061653388201,138.93019204096277,30
45,MLP,base,0.025265378687876424,0.032751203107926424,115.22219444928999,30
46,MLP,base,0.016360730901203456,0.022325142802964236,64.45010688358302,30
47,MLP,base,0.014900223804337753,0.019242417578506504,65.57969529686571,30
48,MLP,base,0.008951358021548648,0.012037045316208441,52.59718797464246,30
49,MLP,base,0.021827702402875945,0.026488258763230722,130.38529288336997,30
50,MLP,base,0.012318370366410775,0.016662134143503662,88.90479295984254,30
51,MLP,base,0.009732829349542471,0.014063506584317834,67.36663172605961,30
52,MLP,base,0.00901062897590797,0.010848370382523523,69.21121370424476,30
1,LSTM,base,0.026059132986921404,0.036485156850505004,54.302080474672955,30
2,LSTM,base,0.014584732812434243,0.01598974254775377,48.985898964929156,30
3,LSTM,base,0.0076765410652695504,0.009022124236880768,24.72087786341662,30
4,LSTM,base,0.012092001204933157,0.023867684510901165,24.928342721795644,30
5,LSTM,base,0.006347553812161194,0.00778093274378809,19.667492421517633,30
6,LSTM,base,0.00908731083561364,0.011725570739158388,27.963654192735365,30
7,LSTM,base,0.007549793576389019,0.012625246565781805,20.780693529924278,30
8,LSTM,base,0.009114312901183298,0.013313503542141553,23.775341809667676,30
9,LSTM,base,0.008470012463588984,0.010530039979093752,26.41740493298121,30
10,LSTM,base,0.009260427049287123,0.01126294837112155,32.04139267541163,30
11,LSTM,base,0.006350487129875052,0.007660622463085399,31.263073713897644,30
12,LSTM,base,0.012159879563351387,0.019688143452922587,28.934228871620004,30
13,LSTM,base,0.016758521287027685,0.02336247483065229,36.48087292123392,30
14,LSTM,base,0.00787319254941379,0.01087925258718047,19.714678939241857,30
15,LSTM,base,0.006061559893728213,0.007294410436448709,23.71473419621732,30
16,LSTM,base,0.006911121547579907,0.009337505921696477,25.326853757639068,30
17,LSTM,base,0.009540155188221355,0.010927820442328333,63.58581729161066,30
18,LSTM,base,0.015766440909565534,0.019434258191448627,66.0415827817161,30
19,LSTM,base,0.013145351868502124,0.014267095044978945,123.91280296690674,30
20,LSTM,base,0.016662459714674376,0.018252608899785094,169.4727136832427,30
21,LSTM,base,0.008120631926302477,0.009161132770351249,44.67794795810403,30
22,LSTM,base,0.009172663742734065,0.0124538358491026,33.05066060462973,30
23,LSTM,base,0.004936382657023391,0.006152128662743414,33.930808543843106,30
24,LSTM,base,0.005823594992220625,0.009068277451863845,29.830279496932967,30
