model_name,feature_set,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_MAPE,std_MAPE,n_folds
LSTM,base,0.009911522127644718,0.005719982218979946,0.014728289786547041,0.009320392974263745,41.43525703892964,32.32089157689038,19
LSTM,extended,0.028632772553056022,0.046963542074800725,0.03803240668438674,0.057140182833227936,107.57355538134792,139.67416253965763,19
MLP,base,0.04388384205526052,0.03649114336486181,0.05730408018965835,0.042828307855651275,168.39602323783456,115.44669819841195,19
MLP,extended,0.03989979322957017,0.033552638184064135,0.05228653737517141,0.042062029081076154,159.0973667305892,123.85116022314996,19
