fold,model_name,feature_set,MAE,RMSE,MAPE,n_test
1,LSTM,extended,0.007940748841926153,0.018049090252569858,20.410178431402848,30
2,LSTM,extended,0.007597785517491548,0.01117544334170537,28.397601954292657,30
3,LSTM,extended,0.029750028624840778,0.0632600641994184,28.168456816743888,30
4,LSTM,extended,0.009996963501689306,0.012984966254943053,48.68645716324399,30
5,LSTM,extended,0.007206790806154784,0.009860178699917727,30.798212349028404,30
6,LSTM,extended,0.01010358836841199,0.015364527696775357,22.28060846371992,30
7,LSTM,extended,0.009862285165595518,0.01748604222395637,16.584512959383893,30
8,LSTM,extended,0.015254872162309101,0.020655982068299144,25.838223035070516,30
9,LSTM,extended,0.008267629798529925,0.021731408285448735,16.354247226347315,30
10,LSTM,extended,0.0072130119104140905,0.01327799014636177,16.222331624510495,30
11,LSTM,extended,0.009159168161668422,0.0117497242146472,23.06346965578411,30
12,LSTM,extended,0.011024514538346965,0.017212804838027305,23.125737959451172,30
13,LSTM,extended,0.005529968063775514,0.007210565961865041,20.699590304527725,30
14,LSTM,extended,0.00860699936519707,0.00986642393802111,66.7276361015541,30
15,LSTM,extended,0.007496953705884894,0.011277437700311074,27.705264191494482,30
16,LSTM,extended,0.006223321945761879,0.007160083020145183,41.87529628399735,30
17,LSTM,extended,0.007876220493308043,0.017277933307832886,53.80889566288146,30
18,LSTM,extended,0.005260911878356258,0.0065261894451735004,33.754914831831925,30
19,LSTM,extended,0.008815180705899643,0.013323431054650565,27.31153580719444,30
20,LSTM,extended,0.005336935033691057,0.006921381812932471,29.54694390385628,30
21,LSTM,extended,0.005976971418590183,0.007331787934699114,23.703507334464145,30
22,LSTM,extended,0.006515612279896768,0.008132799056760643,24.236214198712037,30
