model_name,feature_set,mean_MAE,std_MAE,median_MAE,mean_MSE,std_MSE,median_MSE,mean_RMSE,std_RMSE,median_RMSE,mean_MAPE,std_MAPE,median_MAPE,mean_R2,std_R2,median_R2,mean_DA,std_DA,median_DA,n_folds
LSTM,base,0.009023183080388252,0.004713170664043667,0.007879532652842563,0.00035110756219098606,0.000797897834510017,0.00014763215195407093,0.01490726912322866,0.01161972782348567,0.012143006026968602,29.351323466036273,12.48938964371437,27.151964730360184,-0.00024332436311564292,0.1717906046401788,-0.011516084794511827,64.84848484848484,6.879712736041189,63.33333333333333,22
LSTM,extended,0.010335399114517366,0.004925864496989728,0.008634239610675505,0.00036937358766097017,0.0007715455194705745,0.00015060962390105583,0.015806230948467136,0.011190570688505437,0.012272074305075117,36.26839946347132,16.93932220226,28.60258486231249,-0.33474891317357786,0.9510167990849933,-0.11325626601153316,60.15151515151515,10.8123617636096,61.666666666666664,22
MLP,base,0.0296919887602327,0.027218003146022313,0.01853020912026148,0.0024645417042926453,0.004428177265118144,0.0005271027070397331,0.03733293189761284,0.03349304533698973,0.022956589316361964,124.1956866639474,145.51800518667312,65.49824991795768,-23.747356497594755,64.62671373586687,-2.202788898497907,53.33333333333333,8.229511997978234,50.0,22
MLP,extended,0.021528448677724635,0.026800212903099255,0.013817434372376916,0.002265189048923429,0.007368383591375554,0.0003830025180926876,0.03023060997144288,0.03762508277663061,0.019569783467487778,69.32510849501956,59.27887426399497,51.124133223974695,-7.878716402433085,24.963378524225515,-1.4560513004387907,58.18181818181818,6.148710255544476,56.666666666666664,22
