fold,model_name,feature_set,MAE,MSE,RMSE,MAPE,R2,DA,n_test
1,MLP,base,0.022365876137052255,0.000845239405863879,0.029073001321911693,93.38841694876336,-1.3763858860467728,50.0,30
2,MLP,base,0.01373931066803078,0.00032060681647926736,0.01790549682302246,56.650415278411934,-1.1406593446351425,46.666666666666664,30
3,MLP,base,0.0566594926193559,0.006563670723331769,0.08101648426913975,76.7812320203521,-0.6348251886803091,66.66666666666666,30
4,MLP,base,0.09692316831415622,0.016555639984863382,0.12866872185913475,460.2266263074025,-124.07066256626929,50.0,30
5,MLP,base,0.013089174023683337,0.0003236419100293071,0.017990050306469604,59.92441693846398,-1.3915891801142068,43.333333333333336,30
6,MLP,base,0.014429351560282367,0.0003032019393474018,0.017412694775576863,45.178454338456746,-0.38713361946807945,56.666666666666664,30
7,MLP,base,0.030577393331222658,0.0014505569004325677,0.03808617728825732,69.88757648582326,-2.6970881621307377,50.0,30
8,MLP,base,0.019531444120797957,0.0006004237348023304,0.024503545351690036,43.83265283477522,-1.0577033424680882,63.33333333333333,30
9,MLP,base,0.038209252871649564,0.0020677417672546362,0.045472428649178574,131.82693900669548,-3.4224734192477078,63.33333333333333,30
10,MLP,base,0.017528974119725,0.0005127505969935777,0.022643996930612264,51.099073794637185,-2.6444808331865586,50.0,30
11,MLP,base,0.013291550796183167,0.0003127620959281544,0.017685081168265934,41.1232276997481,-0.9693429255964876,66.66666666666666,30
12,MLP,base,0.019864948677445815,0.000596411589985309,0.024421539467963705,53.87809546131944,-0.3882003868428996,46.666666666666664,30
13,MLP,base,0.014713525694359238,0.00030751152409715083,0.017536006503681242,60.14791880231789,-4.43629942588964,46.666666666666664,30
14,MLP,base,0.014303942361593706,0.00029539602324229135,0.017187088853039986,86.79139676167559,-4.532701764415938,40.0,30
15,MLP,base,0.07501436320127125,0.008338948973184044,0.09131784586368671,360.3419991796396,-56.79531493300348,46.666666666666664,30
16,MLP,base,0.011019903054861734,0.0002053750680275315,0.014330913021420913,72.17451100229357,-5.304838268132312,46.666666666666664,30
17,MLP,base,0.011858829813109921,0.0004393914368812772,0.020961665889935303,61.108923350092105,-0.46424353803356944,56.666666666666664,30
18,MLP,base,0.09974491511101186,0.012182174756304127,0.1103728895893558,580.4306391156674,-284.6101196136751,50.0,30
