fold,model_name,feature_set,MAE,RMSE,MAPE,n_test
1,MLP,base,0.039888618805836565,0.04887678724719078,72.86331150340428,30
2,MLP,base,0.047947117296786836,0.05625446205742252,131.32913599288082,30
3,MLP,base,0.19138894563134284,0.21107359427031336,533.2664693965413,30
4,MLP,base,0.03453255444470496,0.04258884983388164,116.96995897517071,30
5,MLP,base,0.014636596861627374,0.019932767942082937,43.06799586667753,30
6,MLP,base,0.02147508621286261,0.02855458140589752,56.681417334149074,30
7,MLP,base,0.12550802701427538,0.13790437545720527,407.7722454345806,30
8,MLP,base,0.01887718870768508,0.02500315326536316,77.56458187696906,30
9,MLP,base,0.028512864420215292,0.03739251900068798,133.6548656213797,30
10,MLP,base,0.012462232818496054,0.017205886611825077,60.63536501581085,30
11,MLP,base,0.014966393195969676,0.01716328578312715,136.1644709417827,30
12,MLP,base,0.01481235634116953,0.018700460611188217,86.79888909305339,30
13,MLP,base,0.009556253978264347,0.012004139907982993,39.324481452773895,30
14,MLP,base,0.017254377654376107,0.024250459829298507,68.01700339028308,30
15,MLP,base,0.03827436955128198,0.045432668076548895,155.14241527543186,30
16,MLP,base,0.00645270108117977,0.007778204671375917,40.861234021954665,30
17,MLP,base,0.007729105764386721,0.010254778449176489,35.956854288790645,30
18,MLP,base,0.011941261645564989,0.01605787928521877,61.836683528719014,30
19,MLP,base,0.009096563754912874,0.010814764915105895,52.55647697638401,30
1,LSTM,base,0.3208088737282913,0.34380029816344365,579.70294772683,30
2,LSTM,base,0.011180722420814507,0.021029632019847637,19.36402131869484,30
3,LSTM,base,0.007132220502575402,0.011279527686694636,18.019670991161608,30
4,LSTM,base,0.009028539709545405,0.011620724887358613,28.857306599795756,30
5,LSTM,base,0.009230306553974795,0.013435840436000861,24.06762983926976,30
6,LSTM,base,0.013182544666114734,0.02073079282963691,40.19905349773769,30
7,LSTM,base,0.005972605359284548,0.008635249580141445,17.94390136009591,30
8,LSTM,base,0.011019206737462529,0.014709854613467035,59.4209053019743,30
9,LSTM,base,0.007905344452772202,0.010177667828719556,36.28260260402554,30
10,LSTM,base,0.005772279909542726,0.008978208360105829,26.862409368002666,30
11,LSTM,base,0.007107495628282949,0.008305901785050468,82.76054913303595,30
12,LSTM,base,0.007487883270307385,0.014257474050641386,34.121380692048234,30
13,LSTM,base,0.007764727728286013,0.011027679576400495,32.83414156449696,30
14,LSTM,base,0.009965621183360375,0.014609297432585896,28.303188054702833,30
15,LSTM,base,0.0048013791244241755,0.00667455394242149,17.388820384059773,30
16,LSTM,base,0.00476689419006781,0.005942301437097657,33.194662876857464,30
17,LSTM,base,0.009317174361044027,0.01385498733585474,43.93741959158366,30
18,LSTM,base,0.007728256935265349,0.01118561715247837,34.316528946060515,30
19,LSTM,base,0.00571545214808345,0.006746072707587413,47.38681841315381,30
