model_name,feature_set,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_MAPE,std_MAPE,n_folds
LSTM,base,0.022023252364323922,0.061158809855620486,0.026550568413178745,0.0647872372127603,57.65747041321032,102.93580964387871,19
LSTM,extended,0.014156513852784833,0.019649909163197282,0.018788236619509232,0.023688577955612633,48.27484843521934,34.38113410086666,19
MLP,base,0.03626612671366085,0.04445540845958831,0.045087246475521696,0.04767152111122084,137.46975165967842,143.2464827940716,19
MLP,extended,0.024007976920185577,0.016484987248549205,0.02971669870492179,0.01916281064860019,100.18051142391218,98.85823565684107,19
