model_name,feature_set,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_MAPE,std_MAPE,n_folds
LSTM,base,0.01005330189687034,0.005972375146908285,0.014253189448974019,0.009340327553198026,44.10156303624616,43.479681968212624,56
LSTM,extended,0.06108055610616726,0.1281584957968431,0.06940135532860651,0.13173142281452896,289.6651518750224,651.3564022065412,56
MLP,base,0.05206442887072628,0.03947058923462374,0.06598353624677208,0.04545910343921949,218.8312288524051,164.22265581990825,56
MLP,extended,0.05027129500387166,0.04585764270447619,0.06396703814268954,0.054464867612063525,221.8464866752342,214.44580081672223,56
