fold,model_name,feature_set,MAE,MSE,RMSE,MAPE,R2,DA,n_test
2,LSTM,base,0.008181410185577078,0.0001369750840437608,0.011703635505421417,33.45516661595214,0.08543119307189784,70.0,30
3,LSTM,base,0.027976410107743432,0.003920949472523852,0.06261748535771659,25.718088722730638,0.02340211271735393,70.0,30
4,LSTM,base,0.007252462620586409,0.00013610055936026614,0.011666214440008642,31.7504788148118,-0.028180556619467945,80.0,30
5,LSTM,base,0.006629430694009528,9.059720672697481e-05,0.009518256496174854,25.798091553247954,0.3305215034196821,60.0,30
6,LSTM,base,0.010002686788860356,0.00021445138057010242,0.01464415858184083,23.5767129597248,0.018895722202834198,63.33333333333333,30
7,LSTM,base,0.012127500698744418,0.000456627217165553,0.0213688375248995,19.77402129151883,-0.16382272118111008,63.33333333333333,30
8,LSTM,base,0.010900643713895796,0.00026460019177951754,0.01626653594898181,18.32761319349592,0.0931925780354792,70.0,30
9,LSTM,base,0.009635219219739961,0.0005167697821237134,0.022732570952791797,21.430276874546745,-0.10526404288234859,60.0,30
10,LSTM,base,0.007656203011968761,0.00015849958218101782,0.012589661718291633,18.708578429122664,-0.12656853588028572,73.33333333333333,30
11,LSTM,base,0.011192951649448151,0.00017358122079270274,0.013175022610709354,31.150430198354613,-0.09297435218312566,60.0,30
12,LSTM,base,0.011958180836359,0.0002936208018859705,0.017135366990116394,30.116630592660265,0.316571780952032,63.33333333333333,30
13,LSTM,base,0.0056577278988740745,5.5381793360960556e-05,0.007441894473919968,21.50671803796812,0.020940719744173997,60.0,30
14,LSTM,base,0.007554513496973953,7.106598332638902e-05,0.00843006425398935,60.50454804571127,-0.33105004943605576,50.0,30
15,LSTM,base,0.007522762761516486,0.00012983234247224793,0.011394399609994724,29.011050655056795,0.10016224516984784,80.0,30
16,LSTM,base,0.004371345352570649,3.4660621517511214e-05,0.005887327196403408,28.413655123994968,-0.0640513234623008,66.66666666666666,30
17,LSTM,base,0.008747044079424983,0.0003065212428044222,0.017507748079191175,67.54453688928449,-0.021462211990409985,63.33333333333333,30
18,LSTM,base,0.005294217669318102,4.039752280303532e-05,0.006355904562140256,31.49461320748557,0.05288328638527029,66.66666666666666,30
19,LSTM,base,0.00895068723246376,0.00017736138207368536,0.013317709340336475,28.540310464275187,-0.012258334396862303,73.33333333333333,30
20,LSTM,base,0.004303171432937096,2.707521848952548e-05,0.005203385291281579,24.32940731505419,-0.00567096048803184,66.66666666666666,30
21,LSTM,base,0.007190069163506492,8.678502943005306e-05,0.00931584829363666,26.332869790650214,0.19608989318000747,63.33333333333333,30
22,LSTM,base,0.007903987336081008,0.00011199186721839808,0.010582620999468802,28.042351719094082,-0.08646898266314285,63.33333333333333,30
1,MLP,extended,0.01169588844946713,0.00039608817765731644,0.019901964165813295,42.10608831864928,-0.11359970735488623,56.666666666666664,30
2,MLP,extended,0.012419346447328072,0.00023743070907966934,0.01540878674911394,51.51331166888624,-0.5853008731260383,63.33333333333333,30
3,MLP,extended,0.03813693944240994,0.004921302942321626,0.07015199884765669,52.79432836556298,-0.22575771246945942,60.0,30
4,MLP,extended,0.012845733709151088,0.0003973629671649582,0.019933965164135262,55.91223746499977,-2.0019044644639963,73.33333333333333,30
5,MLP,extended,0.010839699527394272,0.00025954039165287024,0.016110257342850556,49.762400028598044,-0.9179036251003458,63.33333333333333,30
6,MLP,extended,0.01411876678211839,0.0003700875028730316,0.019237658456086375,33.297668977498205,-0.6931317078152806,70.0,30
7,MLP,extended,0.026115033790012693,0.0011730384635287004,0.03424964910081124,44.84559923835892,-1.9897666309696027,66.66666666666666,30
8,MLP,extended,0.12248963439390262,0.028886510007677176,0.1699603189208504,268.2354518839978,-97.99653319768215,50.0,30
9,MLP,extended,0.015975027261937672,0.0005957010813883254,0.02440698837194637,47.255201727228844,-0.27408182200372266,60.0,30
10,MLP,extended,0.0163091103797567,0.0006498908535725394,0.025492956940546138,42.41180818379316,-3.619233548231322,60.0,30
11,MLP,extended,0.008419348267149601,0.00012421400114459596,0.011145133518473252,23.804274017032235,0.21787209000435726,70.0,30
12,MLP,extended,0.016858885159945863,0.0004092197833844006,0.020229181480831117,50.32105137651991,0.04750499296637489,60.0,30
13,MLP,extended,0.010805493233827968,0.00021750173051983217,0.01474793987375295,40.202368879664746,-2.845073891869544,60.0,30
14,MLP,extended,0.007301470129179277,8.668669828797389e-05,0.009310569170999906,45.97921820790324,-0.6236225637197408,56.666666666666664,30
15,MLP,extended,0.012878029371471577,0.0002269923302201925,0.01506626464058668,58.207664370162526,-0.5732310216359451,56.666666666666664,30
16,MLP,extended,0.013877707596701077,0.0003073105424970589,0.017530275026281218,92.86153652835985,-8.434169819854771,50.0,30
17,MLP,extended,0.009751900612341397,0.00037967162004093406,0.019485164100949574,47.3898694884428,-0.26523111184318826,56.666666666666664,30
18,MLP,extended,0.018255517211277553,0.0003702166632374233,0.01924101513011783,90.76675081570967,-7.679700265791887,50.0,30
19,MLP,extended,0.037989900658130224,0.0029868461103703518,0.05465204580224195,185.66196718933568,-16.046889426736268,66.66666666666666,30
20,MLP,extended,0.010544698408101457,0.00013430783593320898,0.011589125762248374,51.41594407221227,-3.9886759147030793,50.0,30
21,MLP,extended,0.01749447937303131,0.00037870448771439225,0.01946033113064606,60.19519842150226,-2.5080285986082833,53.333333333333336,30
22,MLP,extended,0.016330436800402047,0.0006531131180346888,0.02555607790790067,75.28501760777579,-5.336059595571509,50.0,30
1,LSTM,extended,0.008137809159667608,0.0003362281706511026,0.018336525588319687,21.292138061436955,0.0546963692375676,56.666666666666664,30
2,LSTM,extended,0.00791602229366521,0.00014231685740506922,0.01192966292084857,29.604952741686592,0.04976471165275631,70.0,30
3,LSTM,extended,0.02792645673348696,0.0038579082082650516,0.06211206169710559,25.52954483819917,0.03910391298746596,63.33333333333333,30
4,LSTM,extended,0.009072940335676299,0.00014823941109166956,0.01217536081977325,42.9261886583222,-0.11988430411750572,63.33333333333333,30
5,LSTM,extended,0.010573311959297681,0.00015146470541850518,0.012307099797210763,54.847492579682886,-0.11926589054946635,56.666666666666664,30
6,LSTM,extended,0.011329263334807261,0.0002682386312101777,0.016377992282638847,26.38566406661422,-0.2271782436240064,56.666666666666664,30
7,LSTM,extended,0.017393473420435235,0.0004431493429178547,0.02105111262897652,36.258143598090335,-0.12947116329531272,46.666666666666664,30
8,LSTM,extended,0.011609088399264883,0.0002594301182308826,0.016106834519261773,18.529493711073776,0.11091086098332814,70.0,30
9,LSTM,extended,0.009054344494813564,0.0005568861573629638,0.023598435485492758,16.787733757904718,-0.19106470038307033,56.666666666666664,30
10,LSTM,extended,0.008148267686816422,0.00016582795163529266,0.012877420224380839,19.500329527160826,-0.17865643625760885,63.33333333333333,30
11,LSTM,extended,0.010093276334016887,0.00016894510845576142,0.012997888615300619,25.519758173694186,-0.0637825314609517,56.666666666666664,30
12,LSTM,extended,0.012651628025955616,0.00032553281875605933,0.018042528058896272,32.773603609525445,0.24229375733903413,60.0,30
