fold,model_name,feature_set,MAE,RMSE,MAPE,n_test
1,MLP,base,0.024387933519017187,0.029362823604163115,37.69819748809099,30
2,MLP,base,0.034368997739039966,0.047490196063233465,92.34176338159385,30
3,MLP,base,0.23098529427466488,0.2440217090713558,661.9075141361791,30
4,MLP,base,0.03873123296207805,0.046042324752611295,130.56332844371406,30
5,MLP,base,0.010997176216258942,0.01496196402192885,30.323863500950992,30
6,MLP,base,0.018643939273352974,0.025241353320383377,48.66440140864585,30
7,MLP,base,0.12806085946537352,0.1388962007709541,409.70675894527363,30
8,MLP,base,0.020463139194309178,0.025944169351633333,86.79241821959013,30
9,MLP,base,0.03775683515393098,0.0556039182270792,186.5201419778476,30
10,MLP,base,0.010706251896680143,0.01404640348008891,51.27184895204827,30
11,MLP,base,0.010397184342794633,0.01302300461796954,94.81321694541235,30
12,MLP,base,0.011969501666772986,0.016317607658184546,72.66260805513546,30
13,MLP,base,0.011679461793152447,0.013461210671871155,56.69334618731357,30
14,MLP,base,0.017420472467508837,0.022504434340650612,63.40331854425523,30
15,MLP,base,0.05097489793369463,0.06335021793774354,202.90029580549097,30
16,MLP,base,0.005776384472914484,0.007812841815554698,34.63528637919605,30
17,MLP,base,0.010635490100878607,0.014194181804056814,50.31167196546067,30
18,MLP,base,0.03751760129390698,0.05100850046864212,186.59124771442018,30
19,MLP,base,0.008513898505701807,0.010530393109867189,49.107381867265524,30
1,LSTM,base,0.24870229307992753,0.2688139169160732,439.27179696395467,30
2,LSTM,base,0.011394383559418712,0.02028912781494501,21.61506839724131,30
3,LSTM,base,0.007241130290951548,0.011507259702443153,18.209192494870827,30
4,LSTM,base,0.008684553703882802,0.011496069542665042,27.389488227308473,30
5,LSTM,base,0.009137483826432157,0.0133826071038325,23.9299413432955,30
6,LSTM,base,0.012710613066010337,0.020555281328294768,35.4712662293252,30
7,LSTM,base,0.006418067949734451,0.009732185198998149,17.99025314291963,30
8,LSTM,base,0.013086186667872538,0.016486603773023734,72.62941184693986,30
9,LSTM,base,0.007693050291442875,0.010000588486543054,35.55692993028982,30
10,LSTM,base,0.005764704281649735,0.008910626238446767,27.219640324580425,30
11,LSTM,base,0.006804221380655997,0.007842426725867751,78.86664256351291,30
12,LSTM,base,0.007400101069749963,0.014312749745382138,33.01522603947695,30
13,LSTM,base,0.0076882739029199,0.010778341406432815,34.12067857371502,30
14,LSTM,base,0.009324164978585766,0.013556603929863993,27.27182525436977,30
15,LSTM,base,0.00489709185299221,0.007048475841663393,17.224764315349805,30
16,LSTM,base,0.004646588492481822,0.0058458189736390435,32.31682688093834,30
17,LSTM,base,0.00915840944188499,0.013893546232366227,41.371857371850126,30
18,LSTM,base,0.00810215442671982,0.010577415754671146,39.887283416577496,30
19,LSTM,base,0.00534016883662912,0.006349219062342298,43.95611234800411,30
1,MLP,extended,0.050519284270545466,0.05793532075781569,75.19847052940631,30
2,MLP,extended,0.019471238858083644,0.026690838199267885,39.23669659702086,30
3,MLP,extended,0.02020557481572385,0.023614673438167665,50.95487856407278,30
4,MLP,extended,0.037407365253273824,0.04453066132265032,127.76239158795045,30
5,MLP,extended,0.014405355634457143,0.020266417167876388,43.3878426545926,30
6,MLP,extended,0.01848299367798774,0.02723485895470385,45.55823064790066,30
7,MLP,extended,0.035382395040981736,0.04408239984799293,113.66702058165833,30
8,MLP,extended,0.015132724527225923,0.02065247223635647,60.75493696926502,30
9,MLP,extended,0.024800210564892178,0.03159576274197515,107.06044011225097,30
10,MLP,extended,0.015215058814713685,0.01674125770825763,66.35314957357508,30
11,MLP,extended,0.014181722179660424,0.022698960257055773,119.51777855190775,30
12,MLP,extended,0.04099943682045297,0.053927140543324,245.57015989105676,30
13,MLP,extended,0.014979712962704362,0.017809173855957802,58.16297875388157,30
14,MLP,extended,0.016991100916348253,0.021335582918122944,57.50139397675501,30
15,MLP,extended,0.010617831266497983,0.013790594463209143,38.93161841873863,30
16,MLP,extended,0.009868829226015128,0.012096939396144535,59.00661546085435,30
17,MLP,extended,0.023865933864072444,0.028582669981130363,120.52965306450503,30
18,MLP,extended,0.02344753651364146,0.037223890655732284,125.31758348359936,30
19,MLP,extended,0.008543897766694794,0.010362915129646037,57.9461123030384,30
1,LSTM,extended,0.06748972173638633,0.08409468373905697,116.78474410112396,30
2,LSTM,extended,0.016207777110979753,0.022523770256251657,37.9068121100668,30
3,LSTM,extended,0.011509952598003963,0.016059754219420505,26.096697407051224,30
4,LSTM,extended,0.009141002467691816,0.01141944971717246,29.787931454538036,30
5,LSTM,extended,0.008460889787007268,0.012326246301727435,22.467975955692392,30
6,LSTM,extended,0.012126417990229222,0.01867942074779492,36.97629893195592,30
7,LSTM,extended,0.005429309103494995,0.0075704758804314345,15.947588294266357,30
8,LSTM,extended,0.016557346377824845,0.019782693713977534,93.96461907774463,30
9,LSTM,extended,0.007426248524779004,0.010168695371826875,34.252048124371825,30
10,LSTM,extended,0.01410027280978512,0.02192591219301489,69.26683311529922,30
11,LSTM,extended,0.0059306961882410626,0.006945600939237074,66.3435091260368,30
12,LSTM,extended,0.008572965491062505,0.014375591976168401,43.19279398356775,30
13,LSTM,extended,0.016228702716213763,0.021462297433056287,86.2689185984813,30
14,LSTM,extended,0.009254642806876302,0.012691818410398938,33.278731655288865,30
15,LSTM,extended,0.0055964023889727476,0.00783586394990976,19.686469925013885,30
16,LSTM,extended,0.004078167249358874,0.005289192704672094,27.5474347351406,30
17,LSTM,extended,0.009214848926261784,0.014052957931795321,40.21131731356404,30
18,LSTM,extended,0.008289035116652603,0.011122567801491949,39.21392751996462,30
19,LSTM,extended,0.004846235037834146,0.005885971412337141,39.482174779338195,30
