model_name,feature_set,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_MAPE,std_MAPE,n_folds
LSTM,base,0.010505976261137156,0.00809165168884078,0.015492991121887652,0.013719795839498445,2733765.0156924,18338460.15796475,45
LSTM,extended,0.024158267197901612,0.06950294863722668,0.028882129020362916,0.06985802355753384,1239714.336298144,8315825.611191376,45
MLP,base,0.05330849590267385,0.08366033564426512,0.061277938970194935,0.0861992178915515,343253.0226783714,2301484.0282838563,45
MLP,extended,0.028252600623803466,0.03410495766945713,0.0346980646927485,0.03868186145704736,383566.95686348586,2572519.8470308185,45
