model_name,feature_set,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_MAPE,std_MAPE,n_folds
LSTM,base,0.006561459919265972,0.0018078916121092251,0.01005346240006916,0.0044274496191715395,34.77077253748008,18.56760274511462,11
LSTM,extended,0.052137730622714235,0.14795990077560042,0.058865146144558025,0.16053961165683642,290.6219687802491,829.0204515796162,11
MLP,base,0.029671144568703667,0.023283996715206572,0.03835503161392027,0.029240775014939643,155.12041826291247,130.37645143845944,11
MLP,extended,0.013625843107975481,0.004063054334550429,0.01849279877831714,0.005505194811332505,65.23848071348483,21.591681651041156,11
