fold,model_name,feature_set,MAE,RMSE,MAPE,n_test
1,LSTM,extended,0.008475370629696133,0.018070358113531717,23.135345469955453,30
2,LSTM,extended,0.007869904609267361,0.011503056294874674,29.935301837711307,30
3,LSTM,extended,0.02841791341235276,0.06416730519172008,25.787282261027293,30
4,LSTM,extended,0.009151360350327348,0.012444687271820496,44.65580639047184,30
5,LSTM,extended,0.00763359899874752,0.010098047233983854,33.90974917632151,30
6,LSTM,extended,0.010259974192774605,0.01607741058554019,21.827561569815504,30
7,LSTM,extended,0.010757097471429881,0.017845254064000067,19.41574321768714,30
8,LSTM,extended,0.01520959512361223,0.02073954070346979,26.371426303718557,30
9,LSTM,extended,0.008039860131030334,0.02241373676246105,14.801531285396214,30
10,LSTM,extended,0.007644685899778331,0.01366098324841703,16.670322666792153,30
11,LSTM,extended,0.009758359868777426,0.01225184304348444,25.564823525346604,30
12,LSTM,extended,0.011285314795195204,0.017810274042104807,24.657072890792087,30
13,LSTM,extended,0.0059184743117168285,0.007466606379912638,23.365071761613564,30
14,LSTM,extended,0.0091218904618414,0.01030164014983963,71.50414863388053,30
15,LSTM,extended,0.007477666567282172,0.011300374041971435,27.939298916579652,30
16,LSTM,extended,0.007379247426737496,0.008387793187149837,50.651927330302534,30
17,LSTM,extended,0.008303209273628442,0.01698007310672632,64.61165025843049,30
18,LSTM,extended,0.005767943289443416,0.00707485015235569,37.12960348987382,30
19,LSTM,extended,0.008372777256695718,0.012816807492142817,27.30779327865357,30
20,LSTM,extended,0.011277487053676923,0.012420401177527386,64.50592210368204,30
21,LSTM,extended,0.00621050775328454,0.008260581735710147,23.659752338066262,30
22,LSTM,extended,0.0065963725873603865,0.009317180517476754,22.850130937270663,30
