date,unique_addresses,transfer_volume_btc,avg_fee_usd
2020-01-01,389706.0,38648.24679086,0.28529817419836334
2020-01-02,475461.0,98003.465802,0.3300646664083947
2020-01-03,523231.0,236599.38690371,0.375350852587624
2020-01-04,465366.0,85109.87776538,0.31701040773309197
2020-01-05,459065.0,47803.86397373,0.30764062467932407
2020-01-06,522665.0,127638.22034273,0.5222887189380269
2020-01-07,576831.0,141873.73420881,0.5872390851108961
2020-01-08,558689.0,144356.99418374,0.7975599713333009
2020-01-09,553318.0,197513.24779745,0.7293420523190925
2020-01-10,590633.0,162847.24910828,0.8160448256239878
2020-01-11,509544.0,63061.48057476,0.4845072014062834
2020-01-12,450668.0,55680.89579774,0.4185513066337202
2020-01-13,501600.0,108793.80403332,0.4899273016948391
2020-01-14,616194.0,335665.94334151,0.648377081121953
2020-01-15,580574.0,280822.13175005,0.8264608843484149
2020-01-16,555072.0,152626.97650804,0.6356151601183782
2020-01-17,562153.0,173664.39846012,0.6639568259777773
2020-01-18,491063.0,77864.56200069,0.5503297835872467
2020-01-19,477110.0,68120.97656105,0.5226171814427384
2020-01-20,532773.0,146372.36081798,0.46827002060305556
2020-01-21,544525.0,103774.67254467,0.5624242295771232
2020-01-22,544484.0,144608.58591928,0.5790724231990559
2020-01-23,535923.0,165824.99086889,0.5396070171054171
2020-01-24,534403.0,116895.23020499,0.4340743609625757
2020-01-25,461312.0,44807.6710861,0.3316949328041837
2020-01-26,429535.0,44461.50905508,0.34592493994943485
2020-01-27,504693.0,92546.4494980701,0.6204836931715549
2020-01-28,589168.0,116541.5660229,0.6105287085826433
2020-01-29,573372.0,129782.17136393,0.5601954543661213
2020-01-30,570253.0,181443.87730608,0.5631709368885066
2020-01-31,572887.0,237347.73978322,0.628724543756242
2020-02-01,523782.0,105828.35283966,0.5393286942106978
2020-02-02,501222.0,65038.56846687,0.5474796871102761
2020-02-03,573277.0,376635.80029822,0.6066577786955609
2020-02-04,555771.0,106601.43838245,0.7058522993397199
2020-02-05,618126.0,125158.09557864,0.6547787553848032
2020-02-06,552411.0,343051.53339826,0.8622367238910963
2020-02-07,599280.0,184460.94895744,0.9199683671105399
2020-02-08,529398.0,147390.86284239,0.6691393124747537
2020-02-09,508254.0,73754.50444352,0.6332505641682751
2020-02-10,526825.0,167002.23945628,0.9390515887486046
2020-02-11,641161.0,231748.72092039,0.9652834242495958
2020-02-12,612313.0,180717.5699263,1.1240906112026028
2020-02-13,608036.0,184803.97834328,1.0715763428605773
2020-02-14,564227.0,150686.40615281,1.0139869187807977
2020-02-15,563001.0,108897.55133657,0.8981579799800292
2020-02-16,474183.0,164576.72659467,0.7316811873624228
2020-02-17,584197.0,230188.81836198,0.7276720287941703
2020-02-18,569291.0,153624.29060613,0.9039088596456426
2020-02-19,580124.0,185797.30231446,0.9615719336691806
2020-02-20,563175.0,170588.4242693,0.8414813503335954
2020-02-21,574950.0,116885.16019362,0.6745671711048824
2020-02-22,525819.0,52610.87379341,0.5812900847392785
2020-02-23,465169.0,74613.19616453,0.5744673930008334
2020-02-24,558687.0,108908.5764442,0.67786029180983
2020-02-25,566484.0,114823.40121733,0.7217583382555701
2020-02-26,588558.0,144920.93813653,0.8025270134379043
2020-02-27,578398.0,230954.56873809,0.7006084581356983
2020-02-28,611266.0,205516.10401421,0.6192512187695135
2020-02-29,519628.0,70693.36063125,0.5230031838620837
2020-03-01,505885.0,64151.94497077,0.3992169055427321
2020-03-02,608032.0,139816.94722347,0.5890588814254961
2020-03-03,593725.0,153057.16598448,0.6347231871616802
2020-03-04,625096.0,153557.84425103,0.6018096963084085
2020-03-05,603996.0,149523.32931023,0.6300520886254503
2020-03-06,601698.0,174643.04681735,0.7184817373798034
2020-03-07,526880.0,78571.6903904,0.5406578123149289
2020-03-08,501571.0,87962.35982647,0.4620689775029567
2020-03-09,606002.0,255326.36339724,0.5782656226919397
2020-03-10,601526.0,206714.51548543,0.67336243689703
2020-03-11,528053.0,201092.54873732,0.8054772581466266
2020-03-12,653156.0,562532.03844696,1.1175784675688614
2020-03-14,517382.0,214808.18146319,1.0255591809499263
2020-03-15,413935.0,130733.34931246,1.052360820873337
2020-03-16,532450.0,369120.30596643,1.1588661284898982
2020-03-17,540902.0,293279.42219886,1.1866571702010016
2020-03-18,476482.0,206422.87703623,1.3420512479553004
2020-03-19,525607.0,208717.92457162,1.4840615638471222
2020-03-20,564748.0,326327.6586704,1.8193036673767016
2020-03-21,469859.0,104842.63233758,1.1805951638735686
2020-03-22,409829.0,116149.63921555,0.9781603203773583
2020-03-23,509038.0,171254.76124635,1.2203354272494726
2020-03-24,528586.0,285682.76921379,1.0702667382949043
2020-03-25,456328.0,141313.27945988,1.3910521261509654
2020-03-26,539881.0,147571.32200352,1.2526714830198376
2020-03-27,529197.0,181775.21569903,1.006378705246921
2020-03-28,469113.0,97521.3631953,0.7535009926640817
2020-03-29,428425.0,94781.20513492,0.5552875230523796
2020-03-30,535787.0,169545.63568834,0.5957024936116109
2020-03-31,546702.0,183387.61589389,0.646512395766152
2020-04-01,544088.0,137069.09191477,0.599857858613507
2020-04-02,569905.0,165119.81613005,0.562695546170037
2020-04-03,548300.0,146105.13705116,0.6327764920607326
2020-04-04,479599.0,68341.02361361,0.44629236116762877
2020-04-05,452282.0,65792.84869851,0.3860568248398603
2020-04-06,557192.0,269773.30765529,0.5326307026995686
2020-04-07,598670.0,209308.56775407,0.5973263577071938
2020-04-08,554336.0,131533.4224242,0.5768981743063305
2020-04-09,544185.0,316026.55465864,0.5941179837688014
2020-04-10,550585.0,158397.15553843,0.5013448141275187
2020-04-11,474445.0,68136.03344977,0.3851015510584139
2020-04-12,437242.0,58780.75101332,0.39109790489126106
2020-04-13,549230.0,166833.78406975,0.3960710996634133
2020-04-14,583665.0,119879.01847391,0.516620858140208
2020-04-15,612959.0,148529.93386735,0.5808863651676535
2020-04-16,635870.0,183664.85403477,0.6148254404117954
2020-04-17,579437.0,151884.4059746,0.647117185885206
2020-04-18,562996.0,72700.16883926,0.4768075652077757
2020-04-19,485888.0,63892.93460417,0.44277598583445776
2020-04-20,619559.0,142026.36155992,0.49830114590601976
2020-04-21,610555.0,158582.77088265,0.5209465165159836
2020-04-22,574265.0,135613.25557325,0.6393442765188894
2020-04-23,666919.0,176407.82845698,0.9147386136938717
2020-04-24,641059.0,252999.90067026,0.8801816943190702
2020-04-25,554934.0,77948.12504636,0.7474303334711099
2020-04-26,499998.0,62822.22317557,0.6269381277158559
2020-04-27,629817.0,161589.25019418,0.7017021920051765
2020-04-28,644967.0,136800.4636958,0.664078475961589
2020-04-29,679872.0,381035.25990029,1.3430432970926731
2020-04-30,687395.0,302044.74430637,3.017676330460739
2020-05-01,680654.0,224914.91089891,2.928438500477576
2020-05-02,578296.0,73277.84088433,2.1120914129648365
2020-05-03,553075.0,88757.48438065,1.8249527914801633
2020-05-04,651350.0,148485.72000459,1.8050241941358487
2020-05-05,652289.0,129613.11786582,1.9495540957760085
2020-05-06,671519.0,178147.75609516,2.0061320832521905
2020-05-07,696092.0,203696.25750297,2.4577762900163167
2020-05-08,670883.0,259355.41031719,3.19714753341355
