model_name,feature_set,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_MAPE,std_MAPE,n_folds
LSTM,base,0.021245187160351595,0.05749811802541926,0.025843492179930493,0.06139773774962677,56.899882446511704,98.20593533676727,19
LSTM,extended,0.011379702011980254,0.009950975433682618,0.01560242315970584,0.012809163142032788,42.98445376168048,22.34393373588643,19
MLP,base,0.16255672930337087,0.5310044896006275,0.22167030151010106,0.7372607122837405,932.6186014458228,3048.9103938290104,19
MLP,extended,0.20402716779799232,0.4951409270672032,0.2647491828371001,0.6430408833518747,971.2690425354876,2306.0785833048085,19
